Id,SalePrice
1461,122235
1462,157499
1463,173835
1464,183187
1465,201532
1466,178459
1467,163971
1468,168254
1469,198167
1470,108432
1471,201989
1472,113497
1473,112346
1474,159751
1475,138310
1476,327110
1477,247042
1478,290519
1479,288333
1480,389722
1481,282713
1482,213853
1483,186370
1484,182854
1485,166308
1486,208006
1487,316113
1488,250016
1489,199705
1490,217133
1491,205513
1492,99470
1493,166044
1494,273881
1495,268606
1496,228195
1497,210703
1498,172939
1499,173092
1500,164849
1501,181005
1502,164548
1503,268843
1504,233147
1505,216242
1506,201735
1507,256311
1508,196952
1509,161319
1510,144977
1511,152060
1512,171874
1513,147299
1514,159983
1515,188482
1516,142722
1517,149908
1518,169037
1519,217628
1520,125543
1521,133267
1522,166416
1523,115075
1524,119452
1525,109608
1526,110497
1527,96556
1528,135296
1529,140750
1530,169025
1531,115020
1532,82133
1533,161143
1534,153475
1535,162877
1536,118221
1537,89791
1538,167378
1539,195691
1540,155923
1541,170247
1542,156427
1543,209901
1544,76217
1545,113262
1546,128083
1547,130697
1548,138485
1549,117117
1550,136363
1551,136742
1552,158704
1553,141464
1554,128150
1555,161811
1556,110319
1557,116200
1558,118249
1559,112120
1560,136237
1561,154864
1562,126502
1563,108062
1564,170355
1565,147545
1566,209312
1567,91595
1568,213205
1569,137094
1570,128570
1571,117360
1572,134865
1573,226502
1574,143951
1575,209983
1576,226453
1577,198002
1578,144509
1579,142496
1580,199957
1581,138363
1582,117739
1583,279591
1584,238548
1585,152724
1586,33230
1587,100320
1588,142176
1589,122850
1590,136207
1591,88245
1592,132915
1593,111376
1594,126684
1595,128899
1596,231255
1597,188409
1598,180918
1599,187201
1600,193035
1601,31444
1602,127263
1603,75763
1604,249964
1605,246539
1606,161005
1607,220369
1608,210659
1609,193261
1610,141802
1611,141263
1612,206671
1613,178635
1614,123245
1615,90186
1616,90186
1617,101277
1618,117652
1619,133306
1620,206404
1621,154036
1622,133594
1623,238799
1624,211879
1625,136026
1626,170070
1627,184648
1628,263750
1629,164111
1630,311466
1631,210197
1632,234268
1633,156112
1634,184670
1635,174571
1636,169530
1637,196854
1638,208828
1639,178362
1640,244864
1641,169062
1642,234779
1643,236726
1644,230684
1645,180799
1646,146922
1647,161656
1648,141794
1649,134182
1650,109088
1651,116416
1652,114311
1653,114871
1654,165365
1655,153546
1656,161723
1657,166180
1658,162604
1659,129664
1660,138873
1661,349435
1662,345865
1663,325925
1664,382575
1665,300010
1666,282150
1667,319555
1668,304228
1669,274569
1670,304962
1671,238546
1672,358415
1673,268984
1674,248853
1675,191349
1676,192616
1677,202486
1678,376141
1679,318968
1680,302915
1681,262801
1682,266343
1683,204722
1684,187928
1685,179895
1686,187087
1687,166376
1688,202927
1689,200080
1690,190227
1691,179877
1692,259068
1693,166308
1694,173049
1695,160161
1696,257427
1697,152940
1698,303936
1699,279724
1700,236957
1701,257786
1702,263205
1703,248053
1704,258136
1705,233835
1706,358178
1707,226463
1708,212518
1709,260300
1710,225174
1711,255054
1712,254744
1713,250903
1714,221509
1715,209912
1716,201870
1717,191407
1718,157558
1719,213300
1720,241203
1721,192226
1722,143462
1723,163248
1724,225022
1725,233955
1726,194967
1727,183922
1728,192965
1729,158165
1730,142615
1731,120438
1732,125419
1733,108585
1734,111734
1735,122630
1736,107041
1737,272642
1738,213471
1739,307221
1740,226015
1741,192070
1742,180920
1743,188325
1744,253976
1745,230434
1746,205121
1747,204094
1748,227137
1749,153437
1750,147230
1751,233439
1752,105238
1753,171159
1754,210084
1755,163571
1756,101817
1757,105611
1758,139159
1759,148145
1760,165955
1761,150318
1762,177721
1763,168865
1764,111205
1765,196062
1766,169496
1767,192234
1768,125189
1769,171158
1770,128622
1771,129025
1772,153204
1773,117903
1774,189901
1775,128518
1776,105437
1777,101461
1778,126684
1779,81866
1780,167521
1781,124080
1782,78832
1783,149446
1784,91543
1785,129961
1786,188116
1787,166655
1788,42701
1789,103199
1790,54751
1791,244340
1792,161891
1793,142229
1794,144544
1795,133642
1796,101365
1797,150979
1798,117740
1799,85894
1800,104119
1801,124451
1802,159871
1803,171134
1804,144041
1805,127872
1806,145514
1807,161334
1808,108179
1809,98316
1810,133628
1811,120077
1812,123232
1813,126001
1814,97033
1815,17393
1816,91862
1817,140746
1818,190673
1819,148480
1820,54364
1821,138758
1822,166924
1823,33597
1824,132980
1825,110911
1826,92804
1827,109467
1828,129422
1829,153150
1830,163654
1831,153541
1832,147075
1833,147068
1834,138186
1835,156997
1836,161523
1837,80869
1838,131371
1839,102001
1840,120882
1841,131613
1842,88669
1843,135799
1844,124343
1845,135725
1846,148092
1847,145672
1848,17320
1849,76036
1850,119753
1851,153173
1852,124184
1853,133461
1854,175477
1855,151209
1856,219592
1857,120372
1858,151974
1859,89984
1860,171658
1861,89225
1862,288395
1863,288395
1864,288395
1865,309132
1866,299260
1867,241581
1868,269639
1869,203898
1870,220064
1871,255595
1872,176906
1873,233541
1874,134935
1875,203054
1876,194879
1877,210743
1878,216318
1879,123250
1880,122111
1881,251535
1882,255118
1883,211185
1884,224031
1885,221907
1886,266451
1887,204836
1888,247371
1889,173566
1890,120693
1891,141052
1892,93372
1893,136923
1894,148686
1895,142502
1896,115763
1897,115202
1898,115695
1899,136620
1900,131459
1901,146268
1902,139701
1903,206958
1904,128046
1905,172137
1906,159829
1907,183646
1908,130055
1909,158466
1910,150322
1911,171053
1912,262843
1913,177020
1914,56360
1915,263190
1916,13410
1917,253738
1918,129188
1919,158171
1920,191557
1921,330755
1922,294232
1923,201850
1924,216209
1925,223988
1926,323021
1927,129029
1928,151578
1929,112232
1930,127650
1931,139435
1932,148129
1933,177854
1934,176620
1935,165798
1936,184426
1937,180143
1938,172986
1939,258755
1940,201532
1941,184172
1942,187433
1943,201659
1944,303643
1945,303978
1946,177641
1947,284302
1948,174703
1949,236598
1950,180620
1951,248574
1952,226451
1953,162862
1954,195228
1955,138994
1956,314572
1957,169322
1958,276174
1959,171963
1960,108487
1961,127519
1962,114311
1963,119028
1964,118164
1965,163379
1966,156633
1967,265640
1968,338683
1969,312092
1970,359763
1971,381395
1972,330654
1973,254718
1974,302566
1975,377341
1976,243018
1977,314731
1978,326800
1979,296855
1980,202645
1981,309379
1982,214356
1983,214356
1984,201103
1985,215528
1986,220112
1987,186502
1988,181461
1989,205095
1990,222262
1991,202486
1992,212137
1993,184128
1994,237025
1995,193830
1996,253897
1997,309064
1998,282003
1999,253919
2000,283463
2001,251638
2002,242176
2003,251368
2004,250729
2005,236207
2006,218336
2007,247261
2008,190440
2009,199018
2010,205347
2011,159605
2012,186516
2013,187969
2014,192737
2015,201294
2016,200340
2017,204250
2018,116404
2019,124270
2020,109840
2021,110263
2022,167882
2023,165329
2024,240252
2025,319201
2026,192210
2027,162878
2028,189569
2029,173834
2030,255894
2031,241727
2032,265071
2033,249667
2034,183622
2035,200241
2036,212836
2037,214189
2038,297130
2039,204678
2040,294275
2041,229321
2042,209501
2043,168552
2044,201656
2045,204679
2046,173071
2047,148817
2048,131749
2049,182282
2050,188889
2051,62175
2052,131555
2053,137691
2054,68147
2055,153375
2056,115967
2057,117511
2058,203319
2059,126805
2060,153120
2061,172855
2062,125966
2063,99969
2064,138968
2065,113716
2066,154947
2067,90244
2068,185517
2069,48360
2070,104873
2071,79585
2072,174105
2073,119125
2074,179345
2075,140089
2076,127836
2077,142238
2078,116837
2079,140176
2080,117352
2081,134082
2082,159560
2083,146306
2084,98808
2085,126413
2086,111163
2087,136468
2088,124342
2089,93173
2090,148369
2091,104570
2092,130746
2093,161313
2094,122110
2095,156106
2096,67744
2097,107460
2098,164641
2099,28448
2100,84833
2101,151188
2102,142707
2103,84726
2104,170608
2105,131268
2106,90742
2107,215576
2108,126551
2109,106966
2110,115061
2111,153765
2112,137229
2113,123148
2114,116143
2115,167940
2116,115470
2117,160302
2118,121231
2119,112426
2120,113472
2121,95201
2122,99919
2123,56910
2124,179321
2125,160866
2126,167791
2127,174056
2128,148024
2129,104588
2130,146284
2131,180570
2132,120848
2133,127875
2134,116868
2135,100240
2136,64155
2137,119269
2138,138074
2139,144744
2140,131056
2141,127298
2142,123077
2143,147799
2144,129015
2145,127336
2146,143353
2147,147881
2148,139257
2149,152779
2150,195537
2151,120783
2152,162666
2153,161376
2154,103767
2155,136678
2156,269534
2157,220471
2158,223918
2159,205106
2160,184113
2161,251768
2162,349114
2163,303462
2164,230815
2165,168872
2166,147864
2167,206167
2168,203191
2169,204006
2170,221412
2171,142300
2172,139158
2173,137144
2174,246477
2175,266659
2176,272455
2177,255411
2178,222826
2179,153046
2180,232667
2181,208105
2182,234910
2183,207561
2184,122416
2185,116183
2186,150542
2187,148405
2188,157007
2189,187624
2190,36954
2191,36320
2192,69268
2193,113724
2194,63558
2195,100572
2196,104374
2197,118430
2198,146429
2199,173077
2200,129182
2201,142101
2202,178880
2203,156308
2204,158290
2205,121665
2206,131651
2207,190191
2208,204714
2209,191197
2210,137928
2211,109977
2212,137483
2213,105663
2214,145243
2215,88467
2216,168332
2217,33593
2218,66779
2219,71082
2220,102439
2221,264923
2222,250303
2223,266880
2224,228420
2225,126198
2226,180942
2227,195406
2228,256137
2229,231440
2230,140792
2231,212645
2232,188296
2233,179623
2234,232362
2235,227732
2236,252790
2237,295952
2238,206940
2239,136624
2240,178435
2241,156435
2242,141589
2243,128914
2244,109766
2245,99998
2246,135773
2247,110036
2248,109568
2249,119966
2250,122585
2251,122761
2252,181343
2253,144482
2254,157834
2255,188226
2256,188326
2257,218433
2258,177121
2259,179171
2260,156444
2261,182648
2262,208107
2263,307104
2264,362995
2265,172794
2266,274827
2267,316107
2268,316411
2269,167140
2270,187001
2271,215037
2272,199599
2273,164169
2274,172419
2275,187284
2276,183676
2277,184985
2278,145058
2279,140451
2280,99012
2281,188991
2282,191217
2283,121458
2284,154560
2285,148172
2286,117622
2287,300509
2288,272646
2289,295882
2290,365354
2291,311273
2292,334336
2293,370918
2294,354524
2295,370970
2296,274369
2297,286373
2298,305001
2299,344246
2300,301925
2301,269154
2302,241034
2303,245292
2304,256136
2305,199711
2306,199711
2307,190865
2308,234785
2309,272803
2310,212719
2311,204722
2312,182378
2313,183342
2314,187497
2315,182192
2316,193872
2317,184370
2318,183382
2319,189060
2320,193011
2321,229800
2322,191264
2323,166354
2324,166394
2325,217375
2326,166818
2327,220006
2328,222275
2329,188101
2330,186715
2331,308015
2332,343822
2333,293175
2334,256132
2335,265648
2336,295462
2337,208413
2338,245180
2339,225403
2340,339429
2341,209583
2342,227384
2343,221342
2344,233771
2345,255514
2346,216214
2347,204232
2348,230802
2349,175633
2350,278486
2351,249429
2352,248663
2353,260500
2354,147516
2355,168163
2356,169062
2357,215055
2358,200095
2359,140746
2360,119727
2361,137770
2362,258429
2363,144635
2364,164088
2365,215954
2366,195384
2367,227089
2368,216099
2369,230535
2370,171092
2371,184110
2372,204296
2373,260956
2374,303593
2375,226006
2376,260557
2377,301748
2378,138349
2379,206316
2380,148752
2381,172275
2382,179195
2383,215519
2384,233672
2385,138417
2386,130343
2387,128456
2388,69733
2389,123356
2390,121738
2391,135759
2392,105495
2393,156353
2394,130368
2395,200933
2396,144686
2397,198016
2398,112182
2399,70499
2400,49405
2401,106996
2402,123393
2403,180096
2404,119429
2405,154993
2406,131048
2407,128973
2408,145025
2409,127160
2410,176030
2411,106421
2412,139311
2413,130976
2414,139843
2415,161703
2416,123105
2417,124556
2418,117491
2419,156046
2420,109061
2421,128581
2422,109147
2423,116057
2424,171932
2425,245730
2426,135561
2427,129664
2428,156924
2429,105619
2430,124701
2431,116132
2432,132350
2433,128570
2434,136336
2435,146976
2436,64131
2437,104689
2438,106974
2439,113718
2440,140638
2441,126539
2442,102805
2443,108673
2444,130554
2445,94552
2446,131363
2447,198074
2448,143918
2449,116065
2450,159191
2451,135566
2452,191362
2453,55372
2454,70450
2455,103437
2456,147598
2457,116160
2458,120274
2459,99163
2460,150418
2461,115300
2462,134445
2463,123827
2464,194469
2465,150599
2466,138055
2467,159698
2468,79814
2469,105347
2470,180873
2471,202643
2472,202809
2473,130814
2474,103606
2475,208815
2476,114974
2477,119223
2478,175563
2479,112792
2480,125341
2481,118128
2482,127621
2483,106060
2484,123000
2485,119099
2486,145575
2487,186874
2488,149176
2489,152990
2490,132898
2491,57902
2492,176450
2493,116065
2494,145224
2495,83103
2496,204979
2497,168163
2498,105797
2499,63357
2500,120270
2501,154783
2502,143739
2503,106461
2504,196920
2505,213144
2506,254595
2507,296096
2508,254595
2509,232124
2510,231784
2511,196411
2512,218759
2513,218674
2514,211500
2515,157832
2516,168098
2517,140150
2518,144152
2519,224145
2520,204766
2521,207661
2522,218234
2523,124298
2524,127148
2525,126872
2526,151403
2527,119313
2528,116717
2529,145246
2530,106532
2531,222443
2532,229146
2533,211683
2534,225784
2535,280109
2536,219886
2537,215588
2538,196579
2539,190746
2540,187707
2541,192711
2542,172636
2543,123673
2544,122366
2545,134061
2546,155528
2547,141692
2548,147152
2549,159836
2550,601252
2551,150692
2552,135707
2553,49579
2554,104007
2555,98498
2556,84163
2557,101046
2558,182590
2559,133586
2560,120051
2561,130190
2562,119141
2563,136461
2564,170477
2565,78453
2566,137208
2567,127322
2568,183757
2569,183041
2570,139956
2571,196706
2572,176993
2573,215541
2574,207650
2575,150321
2576,127478
2577,171234
2578,83115
2579,28511
2580,139729
2581,132003
2582,112705
2583,231318
2584,158615
2585,193326
2586,215412
2587,196042
2588,133375
2589,148035
2590,208675
2591,162891
2592,227786
2593,242489
2594,185581
2595,219211
2596,268031
2597,210870
2598,251221
2599,321191
2600,116672
2601,173187
2602,99947
2603,102173
2604,90186
2605,106149
2606,147465
2607,166244
2608,176943
2609,159458
2610,94882
2611,149464
2612,151820
2613,113881
2614,112621
2615,143136
2616,130725
2617,202694
2618,211800
2619,213749
2620,166340
2621,179806
2622,188030
2623,247411
2624,273314
2625,306998
2626,158932
2627,181484
2628,336484
2629,389171
2630,305220
2631,363985
2632,335983
2633,268720
2634,311817
2635,156141
2636,192263
2637,183215
2638,249282
2639,168132
2640,140034
2641,109840
2642,200622
2643,130462
2644,149559
2645,119882
2646,111676
2647,122630
2648,145630
2649,128541
2650,139599
2651,163701
2652,345669
2653,251353
2654,265633
2655,319784
2656,286580
2657,301062
2658,291365
2659,287251
2660,315393
2661,294515
2662,301437
2663,257970
2664,271252
2665,296660
2666,268367
2667,177527
2668,192659
2669,186822
2670,270565
2671,192659
2672,194011
2673,202894
2674,204611
2675,182473
2676,200472
2677,200871
2678,247009
2679,254318
2680,267870
2681,352518
2682,297643
2683,387670
2684,285983
2685,292708
2686,251620
2687,273330
2688,226035
2689,210210
2690,349149
2691,204498
2692,149175
2693,210675
2694,155977
2695,208096
2696,197945
2697,206563
2698,193313
2699,189364
2700,172358
2701,165455
2702,131785
2703,118742
2704,136137
2705,114871
2706,107970
2707,119060
2708,118089
2709,94211
2710,109949
2711,265600
2712,319751
2713,194862
2714,176467
2715,181334
2716,164548
2717,187642
2718,231518
2719,146369
2720,169052
2721,133010
2722,180802
2723,147437
2724,115666
2725,119035
2726,140054
2727,162133
2728,153649
2729,144338
2730,136879
2731,101644
2732,109500
2733,153330
2734,154146
2735,122753
2736,138887
2737,106819
2738,168233
2739,153896
2740,133337
2741,151532
2742,153708
2743,130923
2744,144079
2745,141997
2746,121204
2747,115182
2748,111731
2749,116544
2750,117997
2751,108491
2752,190367
2753,160558
2754,273859
2755,148417
2756,79297
2757,78426
2758,94299
2759,141706
2760,168155
2761,134390
2762,144041
2763,170900
2764,111791
2765,218497
2766,146550
2767,42172
2768,138863
2769,126129
2770,152146
2771,106381
2772,102714
2773,175673
2774,151631
2775,144095
2776,146540
2777,148073
2778,116228
2779,156281
2780,117660
2781,87703
2782,86454
2783,91501
2784,121449
2785,147696
2786,50679
2787,139017
2788,77285
2789,202163
2790,86899
2791,127762
2792,84650
2793,158768
2794,87871
2795,125588
2796,85067
2797,231015
2798,113424
2799,127112
2800,72869
2801,114864
2802,122755
2803,208172
2804,88464
2805,56253
2806,91084
2807,159539
2808,133062
2809,120803
2810,122160
2811,151477
2812,148196
2813,214507
2814,205794
2815,109020
2816,226195
2817,138508
2818,124316
2819,171386
2820,124635
2821,111574
2822,168499
2823,314555
2824,178442
2825,100290
2826,130624
2827,155080
2828,245378
2829,208606
2830,247042
2831,195497
2832,230464
2833,271136
2834,223733
2835,226802
2836,206036
2837,172556
2838,155090
2839,179958
2840,202016
2841,209744
2842,217548
2843,153153
2844,153042
2845,110461
2846,213421
2847,193617
2848,215001
2849,221831
2850,260735
2851,230014
2852,228652
2853,228326
2854,152724
2855,206270
2856,214991
2857,205362
2858,200967
2859,124620
2860,116074
2861,141816
2862,213177
2863,136540
2864,266343
2865,142953
2866,207615
2867,102127
2868,145914
2869,133571
2870,127947
2871,96835
2872,27341
2873,97397
2874,158448
2875,137723
2876,157675
2877,134750
2878,161251
2879,126287
2880,131992
2881,138442
2882,152597
2883,167512
2884,176057
2885,152715
2886,192647
2887,102240
2888,139705
2889,55707
2890,76785
2891,163064
2892,14755
2893,95275
